Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1200
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_NT,nt_128_128_4_ld_128_128_128,Gemm_Rocblas_48400,0.0109201
GemmTunableOp_Half_NT,nt_5120_128_4_ld_5120_128_5120,Gemm_Rocblas_48614,0.0145534
GemmTunableOp_Half_NT,nt_2048_768_512_ld_2048_768_2048,Gemm_Hipblaslt_48825,0.036784
GemmTunableOp_Half_NT,nt_2048_768_64_ld_2048_768_2048,Gemm_Rocblas_48660,0.0225253
GemmTunableOp_Half_NT,nt_5120_2048_64_ld_5120_2048_5120,Gemm_Hipblaslt_48865,0.056075
GemmTunableOp_Half_NT,nt_4096_768_64_ld_4096_768_4096,Gemm_Hipblaslt_48997,0.0275044
GemmTunableOp_Half_NT,nt_5120_2048_512_ld_5120_2048_5120,Gemm_Rocblas_48922,0.166782
GemmTunableOp_Half_NT,nt_2048_768_51_ld_2048_768_2048,Gemm_Hipblaslt_48637,0.0226469
GemmTunableOp_Half_NT,nt_5120_2048_51_ld_5120_2048_5120,Gemm_Hipblaslt_48865,0.05938
GemmTunableOp_Half_NT,nt_128_1280_4_ld_128_1280_128,Gemm_Rocblas_48406,0.0121509
GemmTunableOp_Half_NT,nt_5120_4096_64_ld_5120_4096_5120,Gemm_Hipblaslt_49010,0.13655
GemmTunableOp_Half_NT,nt_256_2048_308_ld_256_2048_256,Gemm_Rocblas_48663,0.0180638
GemmTunableOp_Half_NT,nt_2048_1024_64_ld_2048_1024_2048,Gemm_Hipblaslt_48659,0.0233055
GemmTunableOp_Half_NT,nt_128_19712_4_ld_128_19712_128,Gemm_Rocblas_49006,0.0220486
GemmTunableOp_float_NT,nt_5120_2048_162_ld_5120_2048_5120,Gemm_Rocblas_58759,0.403851
GemmTunableOp_float_NT,nt_2048_1024_162_ld_2048_1024_2048,Gemm_Hipblaslt_58758,0.0902016
GemmTunableOp_float_NT,nt_4096_2048_232_ld_4096_2048_4096,Gemm_Hipblaslt_58758,0.451694
GemmTunableOp_float_NT,nt_2048_768_232_ld_2048_768_2048,Gemm_Hipblaslt_58758,0.0964968
GemmTunableOp_float_NT,nt_5120_2048_220_ld_5120_2048_5120,Gemm_Rocblas_58759,0.523233
GemmTunableOp_float_NT,nt_4096_2048_256_ld_4096_2048_4096,Gemm_Hipblaslt_58758,0.468688
GemmTunableOp_float_NT,nt_2048_768_256_ld_2048_768_2048,Gemm_Hipblaslt_58758,0.0961748
GemmTunableOp_float_NT,nt_2048_1024_256_ld_2048_1024_2048,Gemm_Rocblas_58759,0.1303
GemmTunableOp_float_NT,nt_2048_1024_220_ld_2048_1024_2048,Gemm_Hipblaslt_58758,0.115423
GemmTunableOp_float_NT,nt_5120_2048_256_ld_5120_2048_5120,Gemm_Hipblaslt_58758,0.562241
GemmAndBiasTunableOp_Half_TN,tn_768_12_4096_ld_4096_4096_768,Gemm_Hipblaslt_50068,0.0267692
GemmAndBiasTunableOp_Half_TN,tn_2048_512_5120_ld_5120_5120_2048,Gemm_Hipblaslt_50618,0.119139
GemmAndBiasTunableOp_Half_TN,tn_3072_126976_768_ld_768_768_3072,Gemm_Hipblaslt_51126,8.01545
GemmAndBiasTunableOp_Half_TN,tn_768_87040_768_ld_768_768_768,Gemm_Hipblaslt_50923,1.46388
GemmAndBiasTunableOp_Half_TN,tn_3072_49152_768_ld_768_768_3072,Gemm_Hipblaslt_50503,3.18634
GemmAndBiasTunableOp_Half_TN,tn_768_65024_3072_ld_3072_3072_768,Gemm_Hipblaslt_50503,3.96234
GemmAndBiasTunableOp_Half_TN,tn_3072_11424_768_ld_768_768_3072,Gemm_Hipblaslt_50503,0.851574
GemmAndBiasTunableOp_Half_TN,tn_768_68096_768_ld_768_768_768,Gemm_Hipblaslt_50503,1.35744
GemmAndBiasTunableOp_Half_TN,tn_768_11424_768_ld_768_768_768,Gemm_Hipblaslt_50514,0.207217
GemmAndBiasTunableOp_Half_TN,tn_768_114688_3072_ld_3072_3072_768,Gemm_Hipblaslt_50947,6.85273
GemmAndBiasTunableOp_Half_TN,tn_768_96256_768_ld_768_768_768,Gemm_Hipblaslt_50514,1.83939
GemmAndBiasTunableOp_Half_TN,tn_768_98304_768_ld_768_768_768,Gemm_Hipblaslt_50923,1.62471
GemmAndBiasTunableOp_Half_TN,tn_3072_81920_768_ld_768_768_3072,Gemm_Hipblaslt_51126,5.31429
GemmAndBiasTunableOp_Half_TN,tn_3072_95744_768_ld_768_768_3072,Gemm_Hipblaslt_50767,6.34888
GemmAndBiasTunableOp_Half_TN,tn_768_64_2048_ld_2048_2048_768,Gemm_Hipblaslt_50914,0.0207829
GemmAndBiasTunableOp_Half_TN,tn_4096_12_5120_ld_5120_5120_4096,Gemm_Hipblaslt_51086,0.0900222
GemmAndBiasTunableOp_Half_TN,tn_768_64_4096_ld_4096_4096_768,Gemm_Hipblaslt_50914,0.0331049
GemmAndBiasTunableOp_Half_TN,tn_768_512_2048_ld_2048_2048_768,Gemm_Hipblaslt_50488,0.0317083
GemmAndBiasTunableOp_Half_TN,tn_768_65536_3072_ld_3072_3072_768,Gemm_Hipblaslt_51079,3.83919
GemmAndBiasTunableOp_Half_TN,tn_768_95744_3072_ld_3072_3072_768,Gemm_Hipblaslt_50503,5.78457
GemmAndBiasTunableOp_Half_TN,tn_1280_4_128_ld_128_128_1280,Gemm_Hipblaslt_50668,0.0109433
GemmAndBiasTunableOp_Half_TN,tn_768_65024_768_ld_768_768_768,Gemm_Hipblaslt_50514,1.32131
GemmAndBiasTunableOp_Half_TN,tn_768_126976_768_ld_768_768_768,Gemm_Hipblaslt_50923,2.35392
GemmAndBiasTunableOp_Half_TN,tn_3072_114688_768_ld_768_768_3072,Gemm_Hipblaslt_51126,7.53371
GemmAndBiasTunableOp_Half_TN,tn_2048_51_5120_ld_5120_5120_2048,Gemm_Hipblaslt_50006,0.0433586
GemmAndBiasTunableOp_Half_TN,tn_768_65536_768_ld_768_768_768,Gemm_Hipblaslt_50503,1.30004
GemmAndBiasTunableOp_Half_TN,tn_3072_96256_768_ld_768_768_3072,Gemm_Hipblaslt_50664,6.37567
GemmAndBiasTunableOp_Half_TN,tn_3072_65024_768_ld_768_768_3072,Gemm_Hipblaslt_50638,4.36687
GemmAndBiasTunableOp_Half_TN,tn_3072_87040_768_ld_768_768_3072,Gemm_Hipblaslt_51126,5.47013
GemmAndBiasTunableOp_Half_TN,tn_128_4_5120_ld_5120_5120_128,Default,0.0281495
GemmAndBiasTunableOp_Half_TN,tn_768_68096_3072_ld_3072_3072_768,Gemm_Hipblaslt_50692,4.57206
GemmAndBiasTunableOp_Half_TN,tn_768_95744_768_ld_768_768_768,Gemm_Hipblaslt_50514,1.83432
GemmAndBiasTunableOp_Half_TN,tn_1280_1_128_ld_128_128_1280,Gemm_Hipblaslt_51061,0.0109441
GemmAndBiasTunableOp_Half_TN,tn_3072_65536_768_ld_768_768_3072,Gemm_Hipblaslt_50992,4.28596
GemmAndBiasTunableOp_Half_TN,tn_3072_98304_768_ld_768_768_3072,Gemm_Hipblaslt_51129,6.13543
GemmAndBiasTunableOp_Half_TN,tn_2048_64_5120_ld_5120_5120_2048,Gemm_Hipblaslt_49854,0.0456405
GemmAndBiasTunableOp_Half_TN,tn_128_4_128_ld_128_128_128,Gemm_Hipblaslt_50914,0.0110349
GemmAndBiasTunableOp_Half_TN,tn_768_51_2048_ld_2048_2048_768,Gemm_Hipblaslt_50914,0.0196896
GemmAndBiasTunableOp_Half_TN,tn_19712_4_128_ld_128_128_19712,Gemm_Hipblaslt_50914,0.0182198
GemmAndBiasTunableOp_Half_TN,tn_128_1_5120_ld_5120_5120_128,Gemm_Hipblaslt_50712,0.0268134
GemmAndBiasTunableOp_Half_TN,tn_768_114688_768_ld_768_768_768,Gemm_Hipblaslt_50778,2.15863
GemmAndBiasTunableOp_Half_TN,tn_768_98304_3072_ld_3072_3072_768,Gemm_Hipblaslt_50982,5.62
GemmAndBiasTunableOp_Half_TN,tn_768_11424_3072_ld_3072_3072_768,Gemm_Hipblaslt_50514,0.697906
